ms_zoning,neighborhood,condition_2,overall_qual,roof_matl,mas_vnr_area,exter_qual,bsmt_qual,heating_qc,central_air,electrical,kitchen_qual,totrms_abvgrd,functional,garage_type,garage_finish,garage_area,paved_drive,sale_type,saleprice,age,total_hse_area,total_bathrms
RL,Sawyer,Norm,5,CompShg,65.0,3,3,Fa,N,FuseF,Fa,5,Mod,Detchd,Unf,322.0,N,WD ,105000,82,1744.0,1.0
RM,BrkSide,RRNn,4,CompShg,0.0,3,3,Fa,N,SBrkr,Fa,4,Typ,Detchd,Unf,240.0,Y,WD ,68500,81,1040.0,1.0
RL,NAmes,Norm,5,CompShg,361.0,3,3,TA,Y,FuseA,TA,12,Typ,Detchd,Unf,480.0,Y,WD ,154300,50,3379.0,2.0
RM,IDOTRR,Norm,5,CompShg,0.0,4,3,Ex,Y,SBrkr,TA,6,Typ,None,None,0.0,N,WD ,129850,82,2537.0,2.0
RM,OldTown,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Detchd,Unf,480.0,Y,WD ,114000,97,1848.0,1.0
RL,StoneBr,Norm,9,CompShg,748.0,5,5,Ex,Y,SBrkr,Ex,9,Typ,Attchd,Fin,1166.0,Y,New,501837,1,4450.0,3.0
RM,OldTown,Norm,5,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,7,Typ,Detchd,Unf,720.0,Y,WD ,153900,93,2292.0,1.5
RL,NAmes,Norm,4,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,5,Typ,Detchd,Unf,576.0,Y,WD ,130000,38,1728.0,1.0
RM,Mitchel,Norm,6,CompShg,197.0,3,5,Ex,Y,SBrkr,TA,4,Typ,Attchd,RFn,392.0,Y,WD ,160500,11,2378.0,3.0
RL,NridgHt,Norm,9,CompShg,572.0,5,5,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,575.0,Y,New,310090,0,3332.0,3.0
RL,SawyerW,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Attchd,RFn,555.0,Y,WD ,184900,6,2376.0,3.0
RL,NAmes,Norm,5,CompShg,0.0,3,4,TA,Y,SBrkr,TA,4,Typ,Attchd,Unf,252.0,Y,WD ,132000,51,1856.0,1.0
RL,NWAmes,Norm,5,CompShg,128.0,3,4,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,502.0,Y,WD ,163000,40,2624.0,2.5
FV,Somerst,Norm,7,CompShg,120.0,4,4,Ex,Y,SBrkr,Gd,4,Typ,Detchd,RFn,480.0,Y,ConLD,155000,6,1800.0,2.5
RL,NWAmes,Norm,6,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,7,Typ,Attchd,RFn,516.0,Y,WD ,183000,39,2854.0,2.5
RL,CollgCr,Norm,7,CompShg,254.0,4,4,Ex,Y,SBrkr,Gd,7,Min2,Attchd,RFn,608.0,Y,WD ,211000,11,2852.0,3.5
RL,SawyerW,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,495.0,Y,WD ,184000,15,2294.0,3.5
RL,SawyerW,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,8,Typ,Attchd,Unf,400.0,Y,WD ,118858,30,1535.0,2.0
RL,NAmes,Norm,5,CompShg,86.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,484.0,Y,WD ,180500,46,2304.0,2.0
FV,Somerst,Norm,8,CompShg,30.0,4,4,Ex,Y,SBrkr,Gd,5,Typ,Attchd,Fin,484.0,Y,New,166000,1,2292.0,3.0
RL,Sawyer,Norm,6,CompShg,54.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,RFn,480.0,Y,COD,148000,49,2276.0,1.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,Gd,Y,SBrkr,Gd,6,Min1,Detchd,Unf,396.0,Y,WD ,124000,51,1968.0,1.0
RL,NridgHt,Norm,9,CompShg,246.0,5,5,Ex,Y,SBrkr,Ex,6,Typ,Attchd,Fin,556.0,Y,WD ,277500,2,3122.0,3.0
RL,NoRidge,Norm,8,CompShg,397.0,4,4,Ex,Y,SBrkr,Gd,9,Typ,Attchd,RFn,725.0,Y,WD ,350000,11,4068.0,2.5
RL,StoneBr,Norm,9,CompShg,296.0,5,5,Ex,Y,SBrkr,Ex,7,Typ,Attchd,Fin,670.0,Y,WD ,387000,4,3768.0,3.0
RL,Edwards,Norm,4,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,5,Typ,None,None,0.0,N,WD ,86000,87,1133.0,2.0
RL,Veenker,Norm,8,CompShg,0.0,5,4,Ex,Y,SBrkr,Ex,6,Typ,Attchd,RFn,550.0,Y,WD ,290000,32,3097.0,4.0
C (all),IDOTRR,Norm,3,CompShg,0.0,3,2,TA,N,SBrkr,TA,5,Typ,None,None,0.0,N,WD ,44000,109,1042.0,1.0
RL,Mitchel,Norm,6,CompShg,0.0,3,5,Ex,Y,SBrkr,Gd,7,Typ,BuiltIn,Fin,560.0,Y,WD ,215000,8,2765.0,3.5
RL,NWAmes,Feedr,5,CompShg,144.0,3,4,Ex,Y,SBrkr,TA,6,Typ,Attchd,Fin,501.0,Y,WD ,146500,34,2346.0,3.0
FV,Somerst,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Detchd,Unf,490.0,Y,WD ,165000,6,2055.0,3.5
RM,OldTown,Norm,6,CompShg,0.0,3,3,TA,N,SBrkr,Gd,10,Typ,Detchd,Unf,216.0,Y,CWD,136000,91,3240.0,2.0
RL,NAmes,Norm,6,CompShg,902.0,3,4,Ex,Y,SBrkr,Ex,4,Min1,Attchd,Unf,550.0,Y,WD ,252000,49,3095.0,2.5
RL,NridgHt,Norm,7,CompShg,106.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,BuiltIn,RFn,474.0,Y,WD ,175500,7,2390.0,2.5
RM,OldTown,Norm,5,CompShg,0.0,3,3,TA,Y,FuseA,TA,7,Typ,Detchd,Unf,400.0,Y,WD ,150000,70,2248.0,1.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Min1,Attchd,RFn,286.0,Y,WD ,139900,47,2400.0,1.0
RM,BrkSide,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,8,Typ,Detchd,Unf,360.0,P,WD ,162900,78,2651.0,2.0
RL,NAmes,Norm,6,CompShg,261.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,Unf,440.0,Y,WD ,160000,48,2232.0,1.5
RL,Sawyer,Norm,2,CompShg,0.0,3,3,Fa,N,SBrkr,Fa,5,Min2,None,None,0.0,N,WD ,63900,62,660.0,1.0
RL,NWAmes,Norm,6,CompShg,144.0,3,3,Gd,Y,SBrkr,TA,7,Typ,Attchd,Fin,479.0,Y,WD ,184000,31,2847.0,2.0
RL,Edwards,Norm,5,CompShg,132.0,3,3,TA,Y,SBrkr,Fa,6,Typ,Attchd,Fin,528.0,Y,WD ,149900,47,2932.0,1.5
FV,Somerst,Norm,9,CompShg,260.0,4,4,Ex,Y,SBrkr,Ex,5,Typ,Attchd,Fin,495.0,Y,WD ,300000,8,3252.0,3.0
RL,ClearCr,Norm,5,Tar&Grv,275.0,3,3,Gd,Y,SBrkr,TA,7,Mod,Basment,Unf,626.0,Y,WD ,145000,48,2709.0,3.0
RL,CollgCr,Norm,6,CompShg,0.0,3,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,470.0,Y,WD ,231500,12,2692.0,3.5
RL,Edwards,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,None,None,0.0,Y,WD ,108000,68,1992.0,2.0
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,6,Typ,Attchd,RFn,304.0,Y,COD,120000,53,2404.0,1.5
RL,Sawyer,Norm,5,CompShg,57.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,572.0,Y,WD ,128500,46,1976.0,2.0
RM,OldTown,Norm,5,CompShg,0.0,3,3,Gd,Y,FuseA,TA,5,Typ,Detchd,Unf,360.0,Y,WD ,115000,83,2036.0,1.0
RM,OldTown,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,240.0,Y,WD ,110000,62,2004.0,1.5
RL,Veenker,Norm,9,CompShg,1050.0,4,4,TA,Y,SBrkr,Gd,9,Typ,Attchd,RFn,864.0,Y,WD ,150000,31,3938.0,3.0
RL,Gilbert,Norm,8,CompShg,0.0,4,5,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,403.0,Y,WD ,178000,2,2121.0,2.5
RL,Crawfor,Norm,7,CompShg,0.0,3,3,Ex,Y,SBrkr,Gd,8,Typ,2Types,Unf,579.0,Y,WD ,199500,74,2246.0,1.5
RL,Gilbert,Norm,6,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Attchd,Fin,400.0,Y,WD ,183500,9,2338.0,3.5
RM,IDOTRR,Norm,5,CompShg,0.0,2,4,Ex,Y,SBrkr,TA,7,Mod,Attchd,Unf,288.0,Y,WD ,126000,41,2280.0,1.5
RL,NPkVill,Norm,7,CompShg,0.0,3,4,Fa,Y,SBrkr,TA,4,Typ,Attchd,Unf,440.0,Y,WD ,148500,31,2110.0,2.0
RL,OldTown,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,Gd,7,Typ,Detchd,Unf,720.0,Y,WD ,149000,70,2028.0,2.5
RL,NPkVill,Norm,6,CompShg,0.0,3,4,TA,Y,SBrkr,TA,6,Typ,Attchd,Unf,440.0,Y,WD ,137900,32,2311.0,2.5
RL,Veenker,Norm,8,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,473.0,Y,Con,324000,15,3438.0,3.5
RL,Edwards,Norm,5,CompShg,0.0,3,3,TA,N,FuseA,TA,5,Typ,None,None,0.0,Y,WD ,98000,83,1728.0,2.0
RM,BrDale,Norm,6,CompShg,359.0,3,3,TA,Y,SBrkr,TA,5,Typ,Detchd,Unf,264.0,Y,WD ,103400,35,1470.0,2.0
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Gd,N,SBrkr,TA,6,Typ,None,None,0.0,N,WD ,94000,135,1800.0,1.0
RL,NridgHt,Norm,8,CompShg,108.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,627.0,Y,WD ,209500,1,3108.0,2.0
RL,StoneBr,Norm,10,CompShg,662.0,5,5,Ex,Y,SBrkr,Ex,10,Typ,BuiltIn,Fin,758.0,Y,New,545224,0,4918.0,3.5
RM,OldTown,Norm,6,CompShg,0.0,4,3,Ex,Y,SBrkr,Gd,7,Typ,None,None,0.0,N,WD ,159900,98,2340.0,1.5
RL,Gilbert,Norm,4,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,4,Typ,Detchd,Unf,400.0,Y,WD ,141000,59,1728.0,1.0
RL,Gilbert,Norm,6,CompShg,0.0,3,4,Ex,Y,SBrkr,TA,9,Typ,Attchd,Fin,431.0,Y,WD ,215000,6,2871.0,2.5
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,6,Typ,Detchd,Unf,260.0,Y,WD ,127000,48,2080.0,2.5
RL,Edwards,Norm,5,CompShg,0.0,3,3,TA,Y,SBrkr,TA,5,Typ,Attchd,Fin,366.0,Y,WD ,128000,56,2344.0,2.0
FV,Somerst,Norm,8,CompShg,0.0,4,5,Ex,Y,SBrkr,Gd,6,Typ,Attchd,RFn,852.0,Y,New,267916,0,3060.0,2.5
RM,BrkSide,Norm,6,CompShg,0.0,3,3,TA,Y,FuseA,TA,6,Typ,Detchd,Unf,560.0,Y,WD ,127500,76,2251.0,1.0
RL,Edwards,Norm,7,CompShg,500.0,4,3,Ex,Y,SBrkr,Gd,7,Typ,BuiltIn,RFn,672.0,Y,ConLD,198500,6,1922.0,3.0
RL,NWAmes,Norm,6,CompShg,210.0,3,4,TA,Y,SBrkr,Gd,7,Typ,Attchd,Fin,576.0,Y,WD ,175500,27,2844.0,2.0
RL,CollgCr,Norm,7,CompShg,144.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,Fin,486.0,Y,WD ,217500,7,2827.0,3.5
RM,OldTown,Norm,4,CompShg,0.0,3,3,Ex,Y,SBrkr,TA,9,Typ,Detchd,Unf,572.0,Y,WD ,149500,95,2850.0,1.5
RL,NAmes,Norm,5,CompShg,165.0,4,3,Ex,Y,SBrkr,TA,5,Typ,Attchd,RFn,656.0,Y,WD ,148800,43,1984.0,1.5
RL,StoneBr,Norm,9,CompShg,208.0,4,5,Ex,Y,SBrkr,Ex,11,Typ,BuiltIn,Fin,716.0,Y,New,556581,1,4860.0,3.5
RL,NAmes,Norm,6,CompShg,0.0,3,3,Gd,Y,SBrkr,TA,6,Typ,Attchd,RFn,442.0,Y,WD ,156500,52,2956.0,2.5
RL,CollgCr,Norm,7,CompShg,0.0,4,4,Ex,Y,SBrkr,Gd,8,Typ,Attchd,RFn,610.0,Y,WD ,237000,11,2925.0,3.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,Fa,Y,SBrkr,TA,5,Typ,Attchd,Fin,297.0,Y,WD ,120000,49,1824.0,1.5
RL,Gilbert,Norm,6,CompShg,0.0,3,4,Ex,Y,SBrkr,Gd,6,Typ,Attchd,Fin,388.0,Y,WD ,203000,2,2652.0,3.0
RL,StoneBr,Norm,8,CompShg,0.0,3,4,TA,Y,SBrkr,TA,5,Typ,Attchd,RFn,461.0,Y,WD ,130000,19,2395.0,2.0
RL,NAmes,Norm,6,CompShg,360.0,3,3,TA,Y,SBrkr,TA,7,Typ,Attchd,RFn,442.0,Y,WD ,167900,44,2391.0,2.5
RL,BrkSide,Norm,4,CompShg,160.0,3,3,TA,N,SBrkr,TA,6,Typ,Detchd,Unf,576.0,Y,WD ,129000,36,1920.0,2.0
RL,NAmes,Norm,5,CompShg,64.0,3,3,TA,Y,SBrkr,Gd,6,Min1,Attchd,Unf,447.0,Y,WD ,134450,49,2306.0,1.5
RL,Sawyer,Norm,5,CompShg,0.0,3,3,Ex,Y,SBrkr,Gd,7,Typ,Attchd,Unf,576.0,N,WD ,112000,89,2232.0,2.0
RL,SawyerW,Norm,7,CompShg,360.0,4,4,Ex,Y,SBrkr,Gd,7,Typ,Attchd,RFn,619.0,Y,WD ,207000,19,2802.0,3.5
RM,OldTown,Norm,5,CompShg,0.0,3,3,TA,N,SBrkr,TA,11,Sev,None,None,0.0,Y,WD ,62500,87,3168.0,2.0
RL,NridgHt,Norm,7,CompShg,106.0,4,4,Ex,Y,SBrkr,Gd,6,Typ,BuiltIn,RFn,474.0,Y,WD ,154000,5,2390.0,3.5
RL,NAmes,Norm,5,CompShg,0.0,3,3,TA,Y,FuseA,TA,5,Typ,Detchd,Unf,308.0,Y,WD ,129900,49,1632.0,2.0
